10.34.191.111 | http | i@1IU79F0x263x1x0 | - | 2018-11-16 04:23:44,620 | "GET / HTTP/1.1" | "" "Java/1.8.0_172" | - | - | - | - | - | - | 
10.34.191.111 | http | o@1IU79F0x263x1x0 | - | 2018-11-16 04:23:44,806 | "GET / HTTP/1.1" | "" "Java/1.8.0_172" | 302 | 0 | 0 | - | 187 | - | 
10.34.191.111 | http | i@1IU79F0x263x2x0 | - | 2018-11-16 04:23:44,812 | "GET /dashboard HTTP/1.1" | "" "Java/1.8.0_172" | - | - | - | - | - | - | 
10.34.191.111 | http | o@1IU79F0x263x2x0 | - | 2018-11-16 04:23:44,821 | "GET /dashboard HTTP/1.1" | "" "Java/1.8.0_172" | 302 | 0 | 0 | - | 9 | - | 
10.34.191.111 | http | i@1IU79F0x263x3x0 | - | 2018-11-16 04:23:44,824 | "GET /login HTTP/1.1" | "" "Java/1.8.0_172" | - | - | - | - | - | - | 
10.34.191.111 | http | o@1IU79F0x263x3x0 | - | 2018-11-16 04:23:45,394 | "GET /login HTTP/1.1" | "" "Java/1.8.0_172" | 200 | 0 | 10142 | - | 570 | - | 
127.0.0.1 | http | i@1IU79F0x263x4x0 | - | 2018-11-16 04:23:47,467 | "POST /rest/api/latest/projects HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x4x0 | admin | 2018-11-16 04:23:48,906 | "POST /rest/api/latest/projects HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | 201 | 87 | 206 | - | 1438 | - | 
127.0.0.1 | http | i@1IU79F0x263x5x0 | - | 2018-11-16 04:23:48,995 | "POST /rest/api/latest/projects/PROJECT_1/repos/ HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x5x0 | admin | 2018-11-16 04:23:49,186 | "POST /rest/api/latest/projects/PROJECT_1/repos/ HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | 201 | 30 | 608 | - | 191 | - | 
127.0.0.1 | http | i@1IU79F0x263x6x0 | - | 2018-11-16 04:23:49,449 | "GET /scm/PROJECT_1/rep_1.git/info/refs HTTP/1.1" | "" "git/2.19.0" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x6x0 | - | 2018-11-16 04:23:49,458 | "GET /scm/PROJECT_1/rep_1.git/info/refs HTTP/1.1" | "" "git/2.19.0" | 401 | 0 | 0 | - | 9 | - | 
127.0.0.1 | http | i@1IU79F0x263x7x0 | - | 2018-11-16 04:23:49,460 | "GET /scm/PROJECT_1/rep_1.git/info/refs HTTP/1.1" | "" "git/2.19.0" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x7x0 | admin | 2018-11-16 04:23:49,542 | "GET /scm/PROJECT_1/rep_1.git/info/refs HTTP/1.1" | "" "git/2.19.0" | 200 | 0 | 180 | protocol:1, refs | 81 | - | 
127.0.0.1 | http | i@1IU79F0x263x8x0 | - | 2018-11-16 04:23:49,559 | "POST /scm/PROJECT_1/rep_1.git/git-receive-pack HTTP/1.1" | "" "git/2.19.0" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x8x0 | admin | 2018-11-16 04:23:49,927 | "POST /scm/PROJECT_1/rep_1.git/git-receive-pack HTTP/1.1" | "" "git/2.19.0" | 200 | 8726 | 265 | protocol:1, push | 367 | - | 
127.0.0.1 | http | i@1IU79F0x263x9x0 | - | 2018-11-16 04:23:49,946 | "PUT /rest/analytics/1.0/config/acknowledge HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | - | - | - | - | - | - | 
127.0.0.1 | http | o@1IU79F0x263x9x0 | admin | 2018-11-16 04:23:50,563 | "PUT /rest/analytics/1.0/config/acknowledge HTTP/1.1" | "" "Apache-HttpClient/4.5.5 (Java/1.8.0_172)" | 200 | 0 | 0 | - | 616 | - | 
